rank,name,year,backhand
8,David Nalbandian,2006,Two-handed
9,Mario Ancic,2006,Two-handed
10,Fernando Gonzalez,2006,One-handed
1,Roger Federer,2007,One-handed
2,Rafael Nadal,2007,Two-handed
3,Novak Djokovic,2007,Two-handed
4,Nikolay Davydenko,2007,Two-handed
5,David Ferrer,2007,Two-handed
6,Andy Roddick,2007,Two-handed
7,Fernando Gonzalez,2007,One-handed
8,Richard Gasquet,2007,One-handed
9,David Nalbandian,2007,Two-handed
10,Tommy Robredo,2007,One-handed
1,Rafael Nadal,2008,Two-handed
2,Roger Federer,2008,One-handed
3,Novak Djokovic,2008,Two-handed
4,Andy Murray,2008,Two-handed
5,Nikolay Davydenko,2008,Two-handed
6,Jo-Wilfried Tsonga,2008,Two-handed
7,Gilles Simon,2008,Two-handed
8,Andy Roddick,2008,Two-handed
9,Juan Martin del Potro,2008,Two-handed
10,James Blake,2008,One-handed
1,Roger Federer,2009,One-handed
2,Rafael Nadal,2009,Two-handed
3,Novak Djokovic,2009,Two-handed
4,Andy Murray,2009,Two-handed
5,Juan Martin del Potro,2009,Two-handed
6,Nikolay Davydenko,2009,Two-handed
7,Andy Roddick,2009,Two-handed
8,Robin Soderling,2009,Two-handed
9,Fernando Verdasco,2009,Two-handed
10,Jo-Wilfried Tsonga,2009,Two-handed
1,Rafael Nadal,2010,Two-handed
2,Roger Federer,2010,One-handed
3,Novak Djokovic,2010,Two-handed
4,Andy Murray,2010,Two-handed
5,Robin Soderling,2010,Two-handed
6,Tomas Berdych,2010,Two-handed
7,David Ferrer,2010,Two-handed
8,Andy Roddick,2010,Two-handed
9,Fernando Verdasco,2010,Two-handed
10,Mikhail Youzhny,2010,One-handed
1,Novak Djokovic,2011,Two-handed
2,Rafael Nadal,2011,Two-handed
3,Roger Federer,2011,One-handed
4,Andy Murray,2011,Two-handed
5,David Ferrer,2011,Two-handed
6,Jo-Wilfried Tsonga,2011,Two-handed
7,Tomas Berdych,2011,Two-handed
8,Mardy Fish,2011,Two-handed
9,Janko Tipsarevic,2011,Two-handed
10,Nicolas Almagro,2011,One-handed
1,Novak Djokovic,2012,Two-handed
2,Roger Federer,2012,One-handed
3,Andy Murray,2012,Two-handed
4,Rafael Nadal,2012,Two-handed
5,David Ferrer,2012,Two-handed
6,Tomas Berdych,2012,Two-handed
7,Juan Martin del Potro,2012,Two-handed
8,Jo-Wilfried Tsonga,2012,Two-handed
9,Janko Tipsarevic,2012,Two-handed
10,Richard Gasquet,2012,One-handed
1,Rafael Nadal,2013,Two-handed
2,Novak Djokovic,2013,Two-handed
3,David Ferrer,2013,Two-handed
4,Andy Murray,2013,Two-handed
5,Juan Martin del Potro,2013,Two-handed
6,Roger Federer,2013,One-handed
7,Tomas Berdych,2013,Two-handed
8,Stan Wawrinka,2013,One-handed
9,Richard Gasquet,2013,One-handed
10,Jo-Wilfried Tsonga,2013,Two-handed
1,Novak Djokovic,2014,Two-handed
2,Roger Federer,2014,One-handed
3,Rafael Nadal,2014,Two-handed
4,Stan Wawrinka,2014,One-handed
5,Kei Nishikori,2014,Two-handed
6,Andy Murray,2014,Two-handed
7,Tomas Berdych,2014,Two-handed
8,Milos Raonic,2014,Two-handed
9,Marin Cilic,2014,Two-handed
10,David Ferrer,2014,Two-handed
1,Novak Djokovic,2015,Two-handed
2,Andy Murray,2015,Two-handed
3,Roger Federer,2015,One-handed
4,Stan Wawrinka,2015,One-handed
5,Rafael Nadal,2015,Two-handed
6,Tomas Berdych,2015,Two-handed
7,David Ferrer,2015,Two-handed
8,Kei Nishikori,2015,Two-handed
9,Richard Gasquet,2015,One-handed
10,Jo-Wilfried Tsonga,2015,Two-handed
1,Andy Murray,2016,Two-handed
2,Novak Djokovic,2016,Two-handed
3,Milos Raonic,2016,Two-handed
4,Stan Wawrinka,2016,One-handed
5,Kei Nishikori,2016,Two-handed
6,Marin Cilic,2016,Two-handed
7,Gael Monfils,2016,Two-handed
8,Dominic Thiem,2016,One-handed
9,Rafael Nadal,2016,Two-handed
10,Tomas Berdych,2016,Two-handed
1,Rafael Nadal,2017,Two-handed
2,Roger Federer,2017,One-handed
3,Grigor Dimitrov,2017,One-handed
4,Alexander Zverev,2017,Two-handed
5,Dominic Thiem,2017,One-handed
6,Marin Cilic,2017,Two-handed
7,David Goffin,2017,Two-handed
8,Jack Sock,2017,Two-handed
9,Stan Wawrinka,2017,One-handed
10,Pablo Carreno Busta,2017,Two-handed
1,Novak Djokovic,2018,Two-handed
2,Rafael Nadal,2018,Two-handed
3,Roger Federer,2018,One-handed
4,Alexander Zverev,2018,Two-handed
5,Juan Martin del Potro,2018,Two-handed
6,Kevin Anderson,2018,Two-handed
7,Marin Cilic,2018,Two-handed
8,Dominic Thiem,2018,One-handed
9,Kei Nishikori,2018,Two-handed
10,John Isner,2018,Two-handed
1,Rafael Nadal,2019,Two-handed
2,Novak Djokovic,2019,Two-handed
3,Roger Federer,2019,One-handed
4,Dominic Thiem,2019,One-handed
5,Daniil Medvedev,2019,Two-handed
6,Stefanos Tsitsipas,2019,One-handed
7,Alexander Zverev,2019,Two-handed
8,Matteo Berrettini,2019,Two-handed
9,Roberto Bautista Agut,2019,Two-handed
10,Gael Monfils,2019,Two-handed
1,Novak Djokovic,2020,Two-handed
2,Rafael Nadal,2020,Two-handed
3,Dominic Thiem,2020,One-handed
4,Daniil Medvedev,2020,Two-handed
5,Roger Federer,2020,One-handed
6,Stefanos Tsitsipas,2020,One-handed
7,Alexander Zverev,2020,Two-handed
8,Andrey Rublev,2020,Two-handed
9,Diego Schwartzman,2020,Two-handed
10,Matteo Berrettini,2020,Two-handed
1,Novak Djokovic,2021,Two-handed
2,Daniil Medvedev,2021,Two-handed
3,Alexander Zverev,2021,Two-handed
4,Stefanos Tsitsipas,2021,One-handed
5,Andrey Rublev,2021,Two-handed
6,Rafael Nadal,2021,Two-handed
7,Matteo Berrettini,2021,Two-handed
8,Casper Ruud,2021,Two-handed
9,Hubert Hurkacz,2021,Two-handed
10,Jannik Sinner,2021,Two-handed
1,Carlos Alcaraz,2022,Two-handed
2,Rafael Nadal,2022,Two-handed
3,Casper Ruud,2022,Two-handed
4,Stefanos Tsitsipas,2022,One-handed
5,Novak Djokovic,2022,Two-handed
6,Felix Auger Aliassime,2022,Two-handed
7,Daniil Medvedev,2022,Two-handed
8,Andrey Rublev,2022,Two-handed
9,Taylor Fritz,2022,Two-handed
10,Hubert Hurkacz,2022,Two-handed
1,Novak Djokovic,2023,Two-handed
2,Carlos Alcaraz,2023,Two-handed
3,Daniil Medvedev,2023,Two-handed
4,Jannik Sinner,2023,Two-handed
5,Andrey Rublev,2023,Two-handed
6,Stefanos Tsitsipas,2023,One-handed
7,Alexander Zverev,2023,Two-handed
8,Holger Rune,2023,Two-handed
9,Hubert Hurkacz,2023,Two-handed
10,Taylor Fritz,2023,Two-handed
